"rider","Team","Cost","Stg","GC","PC","KOM","Spr","Sum","Bky","Ass","Tot","stage","directeur","team"
"André Greipel","Lotto Soudal",14,150,25,10,NA,NA,NA,NA,NA,185,2,"Simon Lyons","Brake Rub Regression"
"Georg Preidler","Team Sunweb",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Simon Lyons","Brake Rub Regression"
"Alexander Foliforov","Gazprom-RusVelo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Simon Lyons","Brake Rub Regression"
"Kanstantsin Siutsou","Bahrain Merida Pro Cycling Team",6,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Simon Lyons","Brake Rub Regression"
"Rory Sutherland","Movistar Team",4,NA,NA,NA,NA,NA,NA,NA,NA,0,2,"Simon Lyons","Brake Rub Regression"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",22,NA,9,NA,NA,NA,NA,NA,2,11,3,"Lee Taylor","Stinkys Strokers"
"Geraint Thomas","Team Sky",16,NA,10,NA,NA,NA,NA,NA,NA,10,3,"Lee Taylor","Stinkys Strokers"
"Adam Yates","ORICA-Scott",12,NA,8,NA,NA,NA,NA,NA,NA,8,3,"Lee Taylor","Stinkys Strokers"
"Ilnur Zakarin","Team Katusha - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Lee Taylor","Stinkys Strokers"
"André Greipel","Lotto Soudal",14,30,22,10,NA,NA,NA,NA,NA,62,3,"Lee Taylor","Stinkys Strokers"
"Marcin Bialoblocki","CCC Sprandi Polkowice",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Lee Taylor","Stinkys Strokers"
"Pavel Brutt","Gazprom-RusVelo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Lee Taylor","Stinkys Strokers"
"José Mendes","Bora - Hansgrohe",4,NA,NA,NA,NA,NA,NA,NA,10,10,3,"Lee Taylor","Stinkys Strokers"
"Caleb Ewan","ORICA-Scott",12,50,15,NA,NA,NA,NA,NA,NA,65,3,"Lee Taylor","Stinkys Strokers"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",22,NA,9,NA,NA,NA,NA,NA,2,11,3,"Stew Ralph","Fly Guys"
"Thibaut Pinot","FDJ",16,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Stew Ralph","Fly Guys"
"Adam Yates","ORICA-Scott",12,NA,8,NA,NA,NA,NA,NA,NA,8,3,"Stew Ralph","Fly Guys"
"Ilnur Zakarin","Team Katusha - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Stew Ralph","Fly Guys"
"André Greipel","Lotto Soudal",14,30,22,10,NA,NA,NA,NA,NA,62,3,"Stew Ralph","Fly Guys"
"Vasil Kiryienka","Team Sky",6,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Stew Ralph","Fly Guys"
"Luis Leon Sanchez","Astana Pro Team",6,NA,1,NA,NA,NA,NA,NA,NA,1,3,"Stew Ralph","Fly Guys"
"Alexander Foliforov","Gazprom-RusVelo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Stew Ralph","Fly Guys"
"Rui Costa","UAE Abu Dhabi",8,NA,6,NA,NA,NA,NA,NA,NA,6,3,"Stew Ralph","Fly Guys"
"Nairo Quintana","Movistar Team",26,NA,4,NA,NA,NA,NA,NA,NA,4,3,"Brendan Smith","The Bandits"
"Bauke Mollema","Trek - Segafredo",14,NA,NA,NA,NA,NA,NA,NA,2,2,3,"Brendan Smith","The Bandits"
"Adam Yates","ORICA-Scott",12,NA,8,NA,NA,NA,NA,NA,NA,8,3,"Brendan Smith","The Bandits"
"Sebastien Reichenbach","FDJ",6,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Bandits"
"Fernando Gaviria","Quick-Step Floors",12,150,25,4,NA,NA,NA,NA,6,185,3,"Brendan Smith","The Bandits"
"Rohan Dennis","BMC Racing Team",8,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Bandits"
"Vincenzo Albanese","Bardiani - CSF",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Bandits"
"Victor Campenaerts","Team LottoNL-Jumbo",6,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Bandits"
"Ilnur Zakarin","Team Katusha - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Bandits"
"Nairo Quintana","Movistar Team",26,NA,4,NA,NA,NA,NA,NA,NA,4,3,"edmund g","Bad Hombres"
"Thibaut Pinot","FDJ",16,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"edmund g","Bad Hombres"
"Ilnur Zakarin","Team Katusha - Alpecin",12,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"edmund g","Bad Hombres"
"Pierre Rolland","Cannondale-Drapac Pro Cycling Team",8,NA,NA,NA,1,NA,NA,NA,NA,1,3,"edmund g","Bad Hombres"
"Fernando Gaviria","Quick-Step Floors",12,150,25,4,NA,NA,NA,NA,6,185,3,"edmund g","Bad Hombres"
"Jasper De Buyst","Lotto Soudal",4,NA,NA,NA,NA,NA,NA,NA,4,4,3,"edmund g","Bad Hombres"
"Chad Haga","Team Sunweb",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"edmund g","Bad Hombres"
"Peter Stetina","Trek - Segafredo",4,NA,NA,NA,NA,NA,NA,NA,2,2,3,"edmund g","Bad Hombres"
"Mikel Landa","Team Sky",14,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"edmund g","Bad Hombres"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",22,NA,9,NA,NA,NA,NA,NA,2,11,3,"Ben Neal","Cooper`s Crankers"
"Thibaut Pinot","FDJ",16,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Ben Neal","Cooper`s Crankers"
"Adam Yates","ORICA-Scott",12,NA,8,NA,NA,NA,NA,NA,NA,8,3,"Ben Neal","Cooper`s Crankers"
"Pierre Rolland","Cannondale-Drapac Pro Cycling Team",8,NA,NA,NA,1,NA,NA,NA,NA,1,3,"Ben Neal","Cooper`s Crankers"
"Caleb Ewan","ORICA-Scott",12,50,15,NA,NA,NA,NA,NA,NA,65,3,"Ben Neal","Cooper`s Crankers"
"Nathan Haas","Dimension Data",6,90,NA,NA,NA,NA,NA,NA,NA,90,3,"Ben Neal","Cooper`s Crankers"
"William Bonnet","FDJ",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Ben Neal","Cooper`s Crankers"
"Vincenzo Albanese","Bardiani - CSF",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Ben Neal","Cooper`s Crankers"
"Tom Dumoulin","Team Sunweb",16,NA,2,NA,NA,NA,NA,NA,NA,2,3,"Ben Neal","Cooper`s Crankers"
"Nairo Quintana","Movistar Team",26,NA,4,NA,NA,NA,NA,NA,NA,4,3,"Simon Lyons","Brake Rub Regression"
"Steven Kruijswijk","Team LottoNL-Jumbo",18,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Simon Lyons","Brake Rub Regression"
"Adam Yates","ORICA-Scott",12,NA,8,NA,NA,NA,NA,NA,NA,8,3,"Simon Lyons","Brake Rub Regression"
