"rider","Team","Cost","Stg","GC","PC","KOM","Spr","Sum","Bky","Ass","Tot","stage","directeur","team"
"Rohan Dennis","BMC Racing Team",8,NA,NA,NA,NA,NA,NA,NA,2,2,3,"Lee Taylor","Stinkys Strokers"
"Eros Capecchi","Quick-Step Floors",4,NA,NA,NA,NA,NA,NA,NA,8,8,3,"Lee Taylor","Stinkys Strokers"
"Lachlan Morton","Dimension Data",8,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Lee Taylor","Stinkys Strokers"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",20,200,16,10,NA,NA,NA,NA,NA,226,3,"Lee Taylor","Stinkys Strokers"
"Christopher Froome","Team Sky",26,120,25,2,3,6,NA,NA,4,160,3,"Simon Lyons","Brake Rub Regression"
"Vincenzo Nibali","Bahrain Merida Pro Cycling Team",20,200,16,10,NA,NA,NA,NA,NA,226,3,"Simon Lyons","Brake Rub Regression"
"George Bennett","Team LottoNL-Jumbo",10,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Simon Lyons","Brake Rub Regression"
"Rafal Majka","Bora - Hansgrohe",14,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Simon Lyons","Brake Rub Regression"
"Jens Debusschere","Lotto Soudal",6,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Simon Lyons","Brake Rub Regression"
"Omar Fraile","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Simon Lyons","Brake Rub Regression"
"Eros Capecchi","Quick-Step Floors",4,NA,NA,NA,NA,NA,NA,NA,8,8,3,"Simon Lyons","Brake Rub Regression"
"Peter Stetina","Trek - Segafredo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Simon Lyons","Brake Rub Regression"
"Bob Jungels","Quick-Step Floors",10,NA,NA,NA,NA,NA,NA,NA,8,8,3,"Simon Lyons","Brake Rub Regression"
"Christopher Froome","Team Sky",26,120,25,2,3,6,NA,NA,4,160,3,"Brendan Smith","The Banditos"
"Steven Kruijswijk","Team LottoNL-Jumbo",12,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Banditos"
"Emanuel Buchmann","Bora - Hansgrohe",8,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Banditos"
"Ilnur Zakarin","Team Katusha - Alpecin",16,NA,5,NA,NA,NA,NA,NA,NA,5,3,"Brendan Smith","The Banditos"
"Magnus Cort Nielsen","ORICA-Scott",10,NA,NA,NA,NA,NA,NA,NA,6,6,3,"Brendan Smith","The Banditos"
"Eros Capecchi","Quick-Step Floors",4,NA,NA,NA,NA,NA,NA,NA,8,8,3,"Brendan Smith","The Banditos"
"Omar Fraile","Dimension Data",6,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Banditos"
"Jesús Hernández","Trek - Segafredo",4,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Banditos"
"Rafal Majka","Bora - Hansgrohe",14,NA,NA,NA,NA,NA,NA,NA,NA,0,3,"Brendan Smith","The Banditos"
"Christopher Froome","Team Sky",26,120,25,2,3,6,NA,NA,4,160,3,"Ben Neal","Cooper`s Crankers"
